original_name,exact_name,key,match_rule,resolution_status,n_candidate_rows,n_candidate_accepted_ids,n_candidate_taxonomies,n_occurrence_rows,n_compounds,n_compounds_exclusive_to_unresolved,n_families_original,n_genera_original,n_references,original_families,original_genera
Senegalia caffra,senegalia caffra,senegalia caffra,unresolved,no_match,0,0,0,48,46,39,1,1,8,Fabaceae,Senegalia
Cinnamomum cassia,cinnamomum cassia,cinnamomum cassia,exact_conflict,exact_synonym_conflict,2,2,2,148,54,15,1,1,7,Lauraceae,Cinnamomum
Halothamnus somalensis,halothamnus somalensis,halothamnus somalensis,unresolved,no_match,0,0,0,12,12,12,1,1,2,Amaranthaceae,Halothamnus
Mallotus philippinensis,mallotus philippinensis,mallotus philippinensis,unresolved,no_match,0,0,0,14,13,11,1,1,4,Euphorbiaceae,Mallotus
Helichrysum forskahlii,helichrysum forskahlii,helichrysum forskahlii,unresolved,no_match,0,0,0,24,24,10,1,1,2,Asteraceae,Helichrysum
Derris oblonga,derris oblonga,derris oblonga,exact_conflict,exact_synonym_conflict,2,2,2,50,32,9,1,1,5,Fabaceae,Derris
Parartocarpus venenosa,parartocarpus venenosa,parartocarpus venenosa,unresolved,no_match,0,0,0,13,13,8,1,1,2,Moraceae,Parartocarpus
Wyethia glabra,wyethia glabra,wyethia glabra,unresolved,no_match,0,0,0,63,21,7,1,1,1,Asteraceae,Wyethia
Millettia leucantha,millettia leucantha,millettia leucantha,exact_conflict,exact_synonym_conflict,2,2,2,18,18,6,1,1,3,Fabaceae,Millettia
Laburnum anagyroides,laburnum anagyroides,laburnum anagyroides,unresolved,no_match,0,0,0,42,14,6,1,1,1,Fabaceae,Laburnum
Oreopteris quelpaertensis,oreopteris quelpaertensis,oreopteris quelpaertensis,unresolved,no_match,0,0,0,12,6,6,1,1,1,Thelypteridaceae,Oreopteris
Thelypteris quelpaertensis,thelypteris quelpaertensis,thelypteris quelpaertensis,unresolved,no_match,0,0,0,6,6,6,1,1,1,Thelypteridaceae,Thelypteris
Pachyrrhizus erosus,pachyrrhizus erosus,pachyrrhizus erosus,unresolved,no_match,0,0,0,20,16,5,1,1,3,Fabaceae,Pachyrrhizus
